id,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,category,difficulty_level,created_at
1972,"A data engineer needs to transform and clean large volumes of raw data stored in Amazon S3 before loading it into a data warehouse. Which AWS service is most suitable for this ETL (Extract, Transform, Load) process?",AWS Glue,Amazon Kinesis,AWS Data Pipeline,AWS Lambda,,A,"AWS Glue is a fully managed ETL (Extract, Transform, Load) service that makes it easy to prepare and transform data for analytics. It can read data from Amazon S3, apply transformations using a Spark-based engine, and write the results to various targets including data warehouses. Amazon Kinesis is for real-time streaming data processing. AWS Data Pipeline is for orchestrating data movement and processing but has fewer built-in transformation capabilities than AWS Glue. AWS Lambda is for event-driven computing, not for large-scale batch ETL operations.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1973,A company needs to process streaming data in real-time to perform aggregations and detect anomalies. The processing should be able to handle high throughput and scale automatically. Which AWS service should they use?,AWS Glue,Amazon Kinesis Data Analytics,AWS Data Pipeline,AWS Lambda,,B,"Amazon Kinesis Data Analytics is the most suitable service for real-time processing of streaming data to perform aggregations and detect anomalies. It allows you to process and analyze streaming data using standard SQL or Apache Flink, and it can automatically scale to handle high throughput. AWS Glue is primarily for batch ETL operations. AWS Data Pipeline is for scheduled data movement and processing, not real-time streaming. While AWS Lambda could be used for real-time processing, it has limitations on execution time and is not as specialized for streaming analytics as Kinesis Data Analytics.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1974,A data engineer needs to process large volumes of genomic data using complex algorithms. The processing requires high-performance computing resources and may take several hours to complete. Which AWS service should they use?,AWS Glue,AWS Lambda,AWS Batch,Amazon EMR,,D,"Amazon EMR (Elastic MapReduce) is a managed cluster platform that can process and analyze large datasets using frameworks like Apache Spark, Hadoop, and HBase. It's ideal for complex, compute-intensive workloads like genomic data analysis that require high-performance computing resources and long processing times. AWS Glue is for ETL operations, not complex algorithms. AWS Lambda has execution time limits (15 minutes) and is not suitable for long-running jobs. AWS Batch is for batch computing but is less specialized for big data processing than EMR.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1975,A company wants to transform data from multiple sources and load it into Amazon Redshift. They want to use a serverless solution with minimal infrastructure management. Which AWS service should they use?,AWS Glue,AWS Data Pipeline,AWS Lambda,Amazon EMR,,A,AWS Glue is a serverless ETL service that can transform data from multiple sources and load it into Amazon Redshift with minimal infrastructure management. It provides a managed Spark environment for data transformation and can connect to various data sources. AWS Data Pipeline requires more infrastructure management. AWS Lambda is not suitable for large-scale ETL operations due to execution time limits. Amazon EMR requires managing clusters.,AWS Data Engineer,,2025-10-07 03:56:33.339941
1976,A data engineer needs to process real-time clickstream data to generate user session summaries. The processing should be able to handle high throughput and low latency. Which AWS service should they use?,AWS Glue,Amazon Kinesis Data Analytics,AWS Data Pipeline,AWS Lambda,,B,"Amazon Kinesis Data Analytics is designed for real-time processing of streaming data like clickstream data. It can perform aggregations and generate summaries with low latency and can scale automatically to handle high throughput. AWS Glue is for batch ETL operations. AWS Data Pipeline is for scheduled data movement, not real-time streaming. While AWS Lambda could be used, it has limitations on throughput and is not as specialized for streaming analytics as Kinesis Data Analytics.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1977,A company wants to process large volumes of log data stored in Amazon S3 to extract metrics and generate reports. The processing should happen daily. Which AWS service should they use?,AWS Glue,Amazon Kinesis,AWS Data Pipeline,AWS Lambda,,A,AWS Glue is ideal for batch processing of large volumes of data stored in Amazon S3. It can extract metrics from log data and generate reports on a scheduled basis. Amazon Kinesis is for real-time streaming data processing. AWS Data Pipeline could be used but has fewer built-in transformation capabilities than AWS Glue. AWS Lambda is not suitable for large-scale batch processing due to execution time limits.,AWS Data Engineer,,2025-10-07 03:56:33.339941
1978,A data engineer needs to process streaming data from IoT devices to detect anomalies in real-time. The processing should be able to handle millions of events per second. Which AWS service should they use?,AWS Glue,Amazon Kinesis Data Analytics,AWS Data Pipeline,AWS Lambda,,B,"Amazon Kinesis Data Analytics is designed for real-time processing of high-volume streaming data like IoT device events. It can detect anomalies with low latency and can scale automatically to handle millions of events per second. AWS Glue is for batch ETL operations. AWS Data Pipeline is for scheduled data movement, not real-time streaming. While AWS Lambda could be used, it has limitations on throughput and is not as specialized for streaming analytics as Kinesis Data Analytics.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1979,A company wants to transform data from their on-premises databases and load it into Amazon S3. They want to use a fully managed service that requires minimal coding. Which AWS service should they use?,AWS Glue,AWS Database Migration Service (DMS),AWS Data Pipeline,AWS Lambda,,B,AWS Database Migration Service (DMS) is a fully managed service that can extract data from on-premises databases and load it into Amazon S3 with minimal configuration. It's specifically designed for database migration and ongoing replication. AWS Glue requires more setup for ETL operations. AWS Data Pipeline could be used but is less specialized for database extraction. AWS Lambda would require custom coding.,AWS Data Engineer,,2025-10-07 03:56:33.339941
1980,A data engineer needs to process large volumes of data using custom Python scripts. The processing requires access to specialized libraries and may take several hours to complete. Which AWS service should they use?,AWS Glue,AWS Lambda,AWS Batch,Amazon EMR,,C,"AWS Batch is designed for running batch computing jobs of any scale. It can execute custom Python scripts with access to specialized libraries and can handle long-running jobs (several hours). AWS Glue is for ETL operations, not general-purpose batch processing. AWS Lambda has execution time limits (15 minutes) and may not support all specialized libraries. Amazon EMR is more suited for big data processing than general-purpose batch computing.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1981,A company wants to process real-time social media data to perform sentiment analysis. The processing should be able to handle high throughput and provide results within seconds. Which AWS service should they use?,AWS Glue,Amazon Kinesis Data Analytics,AWS Data Pipeline,AWS Lambda,,B,"Amazon Kinesis Data Analytics is designed for real-time processing of streaming data like social media feeds. It can perform sentiment analysis with low latency and can scale automatically to handle high throughput. AWS Glue is for batch ETL operations. AWS Data Pipeline is for scheduled data movement, not real-time streaming. While AWS Lambda could be used, it has limitations on throughput and is not as specialized for streaming analytics as Kinesis Data Analytics.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1982,A data engineer needs to transform and clean data from multiple sources before loading it into a data warehouse. The transformation logic is complex and requires custom code. Which AWS service should they use?,AWS Glue,AWS Data Pipeline,AWS Lambda,Amazon EMR,,A,AWS Glue is ideal for complex ETL operations that require custom code. It provides a managed Spark environment where you can write transformation logic in Python or Scala. It can connect to multiple data sources and load into various targets including data warehouses. AWS Data Pipeline has fewer built-in transformation capabilities. AWS Lambda is not suitable for large-scale ETL operations. Amazon EMR requires managing clusters.,AWS Data Engineer,,2025-10-07 03:56:33.339941
1983,A company wants to process streaming data from their mobile applications to generate real-time user engagement metrics. The processing should be able to handle high throughput and scale automatically. Which AWS service should they use?,AWS Glue,Amazon Kinesis Data Analytics,AWS Data Pipeline,AWS Lambda,,B,"Amazon Kinesis Data Analytics is designed for real-time processing of streaming data like mobile app events. It can generate engagement metrics with low latency and can scale automatically to handle high throughput. AWS Glue is for batch ETL operations. AWS Data Pipeline is for scheduled data movement, not real-time streaming. While AWS Lambda could be used, it has limitations on throughput and is not as specialized for streaming analytics as Kinesis Data Analytics.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1984,A data engineer needs to process large volumes of data using Apache Spark. The processing requires custom machine learning models and may take several hours to complete. Which AWS service should they use?,AWS Glue,AWS Lambda,AWS Batch,Amazon EMR,,D,"Amazon EMR is a managed cluster platform that provides Apache Spark and other big data frameworks. It's ideal for complex, long-running Spark jobs that require custom machine learning models. AWS Glue provides Spark for ETL but is less flexible for custom ML workloads. AWS Lambda has execution time limits and doesn't support Spark. AWS Batch is for general-purpose batch computing, not specifically for Spark.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1985,A company wants to transform data from their CRM system and load it into Amazon Redshift. They want to use a serverless solution that can handle schema changes automatically. Which AWS service should they use?,AWS Glue,AWS Data Pipeline,AWS Lambda,Amazon EMR,,A,AWS Glue can automatically detect schema changes in source data and adapt the ETL process accordingly. It's a serverless solution that can transform data from CRM systems and load it into Amazon Redshift. AWS Data Pipeline requires more manual handling of schema changes. AWS Lambda is not suitable for large-scale ETL operations. Amazon EMR requires managing clusters.,AWS Data Engineer,,2025-10-07 03:56:33.339941
1986,A data engineer needs to process real-time financial transactions to detect fraud. The processing should be able to handle high throughput and provide results within milliseconds. Which AWS service should they use?,AWS Glue,Amazon Kinesis Data Analytics,AWS Data Pipeline,AWS Lambda,,B,"Amazon Kinesis Data Analytics is designed for real-time processing of streaming data like financial transactions. It can detect fraud with very low latency (milliseconds) and can scale automatically to handle high throughput. AWS Glue is for batch ETL operations. AWS Data Pipeline is for scheduled data movement, not real-time streaming. While AWS Lambda could be used, it has limitations on throughput and is not as specialized for streaming analytics as Kinesis Data Analytics.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1987,A company wants to process large volumes of data using SQL-based transformations. The processing should be able to handle petabytes of data. Which AWS service should they use?,AWS Glue,Amazon Athena,AWS Data Pipeline,Amazon EMR,,A,"AWS Glue can handle petabytes of data and provides SQL-based transformations through its Spark SQL engine. It's designed for large-scale ETL operations. Amazon Athena is for querying data, not for ETL transformations. AWS Data Pipeline has limited SQL transformation capabilities. Amazon EMR can handle SQL transformations but requires managing clusters.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1988,A data engineer needs to process streaming data from IoT sensors to generate real-time alerts. The processing should be able to handle high throughput and provide results within seconds. Which AWS service should they use?,AWS Glue,Amazon Kinesis Data Analytics,AWS Data Pipeline,AWS Lambda,,B,"Amazon Kinesis Data Analytics is designed for real-time processing of streaming data like IoT sensor events. It can generate alerts with low latency and can scale automatically to handle high throughput. AWS Glue is for batch ETL operations. AWS Data Pipeline is for scheduled data movement, not real-time streaming. While AWS Lambda could be used, it has limitations on throughput and is not as specialized for streaming analytics as Kinesis Data Analytics.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1989,A company wants to transform data from their SaaS applications and load it into Amazon S3. They want to use a fully managed service that requires minimal coding. Which AWS service should they use?,AWS Glue,AWS AppFlow,AWS Data Pipeline,AWS Lambda,,B,AWS AppFlow is a fully managed service that can transfer and transform data between SaaS applications and AWS services like Amazon S3 with minimal configuration. It's specifically designed for SaaS integrations. AWS Glue requires more setup for SaaS connections. AWS Data Pipeline could be used but is less specialized for SaaS integrations. AWS Lambda would require custom coding.,AWS Data Engineer,,2025-10-07 03:56:33.339941
1990,A data engineer needs to process large volumes of data using custom Java code. The processing requires access to specialized libraries and may take several hours to complete. Which AWS service should they use?,AWS Glue,AWS Lambda,AWS Batch,Amazon EMR,,C,"AWS Batch is designed for running batch computing jobs of any scale. It can execute custom Java code with access to specialized libraries and can handle long-running jobs (several hours). AWS Glue is for ETL operations, not general-purpose batch processing. AWS Lambda has execution time limits (15 minutes) and may not support all specialized libraries. Amazon EMR is more suited for big data processing than general-purpose batch computing.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1991,A company wants to process real-time stock market data to generate trading signals. The processing should be able to handle high throughput and provide results within milliseconds. Which AWS service should they use?,AWS Glue,Amazon Kinesis Data Analytics,AWS Data Pipeline,AWS Lambda,,B,"Amazon Kinesis Data Analytics is designed for real-time processing of streaming data like stock market feeds. It can generate trading signals with very low latency (milliseconds) and can scale automatically to handle high throughput. AWS Glue is for batch ETL operations. AWS Data Pipeline is for scheduled data movement, not real-time streaming. While AWS Lambda could be used, it has limitations on throughput and is not as specialized for streaming analytics as Kinesis Data Analytics. ## Domain 4: Data Analysis and Visualization (15%)",AWS Data Engineer,,2025-10-07 03:56:33.339941
1992,A data analyst needs to query data directly from files stored in Amazon S3 using standard SQL without having to load the data into a database. Which AWS service should they use?,Amazon Redshift,Amazon Athena,AWS Glue,Amazon EMR,,B,"Amazon Athena is an interactive query service that makes it easy to analyze data directly in Amazon S3 using standard SQL. It's serverless, so there's no infrastructure to manage, and you only pay for the queries you run. Amazon Redshift is a data warehouse that requires loading data into it before querying. AWS Glue is for ETL operations, not for ad-hoc querying. Amazon EMR is a big data platform that can be used for data processing and analysis but requires more setup and management than Athena for simple SQL queries.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1993,A company wants to create interactive dashboards and visualizations from their data stored in Amazon Redshift. Which AWS service should they use for this purpose?,Amazon QuickSight,Amazon Athena,AWS Glue,Amazon EMR,,A,"Amazon QuickSight is a business intelligence service that allows you to create interactive dashboards and visualizations from various data sources, including Amazon Redshift. It provides a user-friendly interface for data exploration and visualization. Amazon Athena is for querying data, not for creating dashboards. AWS Glue is for ETL operations. Amazon EMR is a big data platform, not a visualization service.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1994,A data analyst needs to perform complex queries on large datasets stored in Amazon S3. The queries involve multiple joins and aggregations and need to run quickly. Which AWS service should they use?,Amazon Redshift,Amazon Athena,AWS Glue,Amazon EMR,,A,"Amazon Redshift is a data warehouse designed for complex queries on large datasets. It uses columnar storage and massively parallel processing to execute queries involving multiple joins and aggregations quickly. Amazon Athena is good for ad-hoc queries but may not perform as well as Redshift for very complex queries on very large datasets. AWS Glue is for ETL operations, not for querying. Amazon EMR can be used for complex queries but requires more setup and management.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1995,A company wants to analyze their data stored in Amazon S3 using standard SQL but without the overhead of managing servers. Which AWS service should they use?,Amazon Redshift,Amazon Athena,AWS Glue,Amazon EMR,,B,"Amazon Athena is a serverless interactive query service that allows you to analyze data in Amazon S3 using standard SQL without managing any servers. You only pay for the queries you run. Amazon Redshift requires managing clusters. AWS Glue is for ETL operations, not for querying. Amazon EMR requires managing clusters.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1996,A data analyst needs to create business intelligence reports from their data stored in Amazon S3. They want to use a tool that provides a spreadsheet-like interface for data analysis. Which AWS service should they use?,Amazon Redshift,Amazon Athena,Amazon QuickSight,AWS Glue,,C,"Amazon QuickSight provides a spreadsheet-like interface (called ""SPICE"") for data analysis and can create business intelligence reports from data stored in Amazon S3. It's designed for business users who want to analyze data without writing SQL. Amazon Redshift and Amazon Athena are for querying data, not for creating reports with a spreadsheet-like interface. AWS Glue is for ETL operations.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1997,A company wants to perform ad-hoc analysis on their data stored in Amazon S3 using standard SQL. They want the results to be available quickly for interactive exploration. Which AWS service should they use?,Amazon Redshift,Amazon Athena,AWS Glue,Amazon EMR,,B,"Amazon Athena is designed for ad-hoc analysis on data stored in Amazon S3 using standard SQL. It provides fast query performance for interactive exploration and is serverless, so there's no infrastructure to manage. Amazon Redshift is better for complex queries but requires loading data into it. AWS Glue is for ETL operations, not for querying. Amazon EMR can be used but requires more setup and management.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1998,A data analyst needs to visualize geospatial data from their Amazon S3 data lake. They want to create interactive maps and overlay data points. Which AWS service should they use?,Amazon Redshift,Amazon Athena,Amazon QuickSight,AWS Glue,,C,"Amazon QuickSight has built-in support for geospatial visualization, including interactive maps and the ability to overlay data points. It can connect directly to Amazon S3 for data retrieval. Amazon Redshift and Amazon Athena can query geospatial data but don't provide visualization capabilities. AWS Glue is for ETL operations, not for visualization.",AWS Data Engineer,,2025-10-07 03:56:33.339941
1999,A company wants to analyze their data using machine learning to predict customer churn. They want to use a fully managed service that requires minimal machine learning expertise. Which AWS service should they use?,Amazon Redshift,Amazon Athena,Amazon QuickSight,Amazon SageMaker,,D,"Amazon SageMaker is a fully managed machine learning service that provides tools for building, training, and deploying machine learning models with minimal expertise. It's ideal for predictive analytics like customer churn prediction. Amazon Redshift and Amazon Athena are for querying data, not for machine learning. Amazon QuickSight has some ML capabilities but is primarily for visualization.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2000,"A data analyst needs to query data from multiple sources including Amazon S3, Amazon Redshift, and a third-party database. They want to use a single tool to query all these sources. Which AWS service should they use?",Amazon Redshift,Amazon Athena,AWS Glue,Amazon EMR,,B,"Amazon Athena can query data from multiple sources including Amazon S3, Amazon Redshift (via Athena Federation), and third-party databases (via connectors). It provides a unified interface for querying disparate data sources. Amazon Redshift can query its own data and data in S3 but not third-party databases as easily. AWS Glue is for ETL operations, not for querying. Amazon EMR can query multiple sources but requires more setup.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2001,A company wants to create interactive dashboards that can be accessed by business users without technical expertise. The dashboards should be accessible from web browsers and mobile devices. Which AWS service should they use?,Amazon Redshift,Amazon Athena,Amazon QuickSight,AWS Glue,,C,"Amazon QuickSight provides interactive dashboards that can be accessed from web browsers and mobile devices. It's designed for business users without technical expertise and provides features like automatic insights and natural language querying. Amazon Redshift and Amazon Athena are for querying data, not for creating dashboards. AWS Glue is for ETL operations.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2002,A data analyst needs to perform time-series analysis on data stored in Amazon S3. They want to use a service that is optimized for time-series data. Which AWS service should they use?,Amazon Redshift,Amazon Athena,Amazon Timestream,AWS Glue,,C,"Amazon Timestream is a fast, scalable, and serverless time-series database service optimized for time-series data. It can query time-series data stored in Amazon S3 with high performance. Amazon Redshift and Amazon Athena can query time-series data but are not specifically optimized for it. AWS Glue is for ETL operations, not for querying.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2003,A company wants to analyze their data using SQL but also needs to perform complex transformations that require custom code. Which AWS service should they use?,Amazon Redshift,Amazon Athena,AWS Glue,Amazon EMR,,C,"AWS Glue can perform both SQL-based transformations and custom code transformations (using PySpark or Scala) in the same ETL job. It's designed for data preparation and transformation. Amazon Redshift and Amazon Athena are for querying data, not for complex transformations. Amazon EMR can perform transformations but requires more setup and management.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2004,A data analyst needs to create a report that combines data from Amazon S3 and an on-premises SQL Server database. They want to use a single tool to query both sources. Which AWS service should they use?,Amazon Redshift,Amazon Athena,AWS Glue,Amazon EMR,,B,"Amazon Athena can query data from Amazon S3 and on-premises SQL Server databases (via Athena Federation). It provides a unified interface for querying disparate data sources without moving the data. Amazon Redshift would require loading the data from SQL Server into Redshift. AWS Glue is for ETL operations, not for querying. Amazon EMR can query multiple sources but requires more setup.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2005,A company wants to visualize their data in 3D and create immersive analytics experiences. Which AWS service should they use?,Amazon Redshift,Amazon Athena,Amazon QuickSight,AWS Glue,,C,"Amazon QuickSight provides 3D visualization capabilities and can create immersive analytics experiences. It's the only option among the choices that offers advanced visualization features. Amazon Redshift and Amazon Athena are for querying data, not for visualization. AWS Glue is for ETL operations.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2006,A data analyst needs to query data stored in Amazon S3 using standard SQL but wants to use a familiar business intelligence tool. They have experience with Microsoft Power BI. Which AWS service should they use?,Amazon Redshift,Amazon Athena,AWS Glue,Amazon EMR,,B,"Amazon Athena can be connected to Microsoft Power BI using the Athena JDBC driver. This allows analysts to use familiar BI tools to query data in Amazon S3. Amazon Redshift can also be connected to Power BI but requires loading data into it. AWS Glue is for ETL operations, not for querying. Amazon EMR can be connected to Power BI but requires more setup. ## Domain 5: Data Security and Governance (10%)",AWS Data Engineer,,2025-10-07 03:56:33.339941
2007,A company wants to encrypt data at rest in Amazon S3 using their own encryption keys. Which AWS service should they use to manage these encryption keys?,AWS KMS (Key Management Service),AWS Secrets Manager,AWS CloudHSM,AWS IAM,,A,"AWS KMS (Key Management Service) is the most appropriate service for managing encryption keys for data at rest in Amazon S3. It allows you to create and manage customer master keys (CMKs) that can be used to encrypt data in S3. KMS integrates seamlessly with S3 for server-side encryption. AWS Secrets Manager is for storing secrets like database credentials, not for managing encryption keys. AWS CloudHSM could also be used but is more complex and expensive, typically used for regulatory compliance requirements. AWS IAM is for managing access permissions, not encryption keys.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2008,A data engineer needs to implement fine-grained access control for data stored in Amazon S3. They want to restrict access based on rows and columns in the data. Which AWS service should they use?,AWS IAM,AWS Lake Formation,AWS KMS,AWS Glue,,B,"AWS Lake Formation is designed to provide fine-grained access control for data stored in Amazon S3. It allows you to define and enforce access controls at the database, table, and column levels, and can also implement row-level security. While AWS IAM can control access to S3 buckets and objects, it doesn't provide granular access control within the data itself. AWS KMS is for managing encryption keys, not access control. AWS Glue provides the data catalog but relies on Lake Formation for fine-grained access control.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2009,A company wants to discover and protect sensitive data (like PII) in their Amazon S3 data lake. Which AWS service should they use?,AWS KMS,AWS Macie,AWS Lake Formation,AWS Glue,,B,"AWS Macie is a security service that uses machine learning to automatically discover and protect sensitive data (PII, financial data, etc.) stored in Amazon S3. It provides detailed reports on sensitive data and can be configured to alert on suspicious access patterns. AWS KMS is for managing encryption keys, not for discovering sensitive data. AWS Lake Formation is for access control, not for discovering sensitive data. AWS Glue is for ETL operations, not for data discovery.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2010,A data engineer needs to implement data encryption in transit for their data pipeline that moves data from on-premises to Amazon S3. Which method should they use?,SSL/TLS,AWS KMS,AWS Secrets Manager,AWS CloudHSM,,A,"SSL/TLS (Secure Sockets Layer/Transport Layer Security) is the standard protocol for encrypting data in transit. When transferring data from on-premises to Amazon S3, you should use SSL/TLS to ensure the data is encrypted during transit. AWS KMS is for managing encryption keys for data at rest. AWS Secrets Manager is for storing secrets, not for encrypting data in transit. AWS CloudHSM is for managing encryption keys, not for encrypting data in transit.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2011,A company wants to monitor and audit all data access activities in their Amazon S3 data lake. Which AWS service should they use?,AWS CloudTrail,AWS CloudWatch,AWS Config,AWS Macie,,A,"AWS CloudTrail records all API calls made to Amazon S3, including data access requests. It provides detailed logs of who accessed what data and when, which is essential for monitoring and auditing data access activities. AWS CloudWatch monitors metrics and logs but doesn't provide detailed API call records. AWS Config tracks resource configurations, not data access activities. AWS Macie is for discovering sensitive data, not for auditing access activities.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2012,A data engineer needs to implement data masking for sensitive columns in their data stored in Amazon S3. Which AWS service should they use?,AWS KMS,AWS Lake Formation,AWS Glue,Amazon Redshift,,B,"AWS Lake Formation provides data masking capabilities for sensitive columns in data stored in Amazon S3. It allows you to define masking rules that hide or obfuscate sensitive data based on user permissions. AWS KMS is for managing encryption keys, not for data masking. AWS Glue can transform data but doesn't provide built-in data masking. Amazon Redshift can mask data but requires loading data into it first.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2013,A company wants to ensure that their data lake in Amazon S3 is compliant with GDPR requirements. They need to implement data retention policies and the right to be forgotten. Which AWS service should they use?,AWS KMS,AWS Lake Formation,AWS Glue,AWS Config,,B,"AWS Lake Formation provides features to help with GDPR compliance, including the ability to define data retention policies and implement granular access controls to support the right to be forgotten. It can track data lineage and enforce access controls at the column and row levels. AWS KMS is for managing encryption keys. AWS Glue can track data lineage but doesn't provide retention policies. AWS Config tracks resource configurations, not data retention.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2014,A data engineer needs to implement encryption for data stored in Amazon Redshift. Which encryption option should they use?,SSE-S3,SSE-KMS,Transparent Data Encryption (TDE),Client-side encryption,,C,"Amazon Redshift uses Transparent Data Encryption (TDE) to encrypt data at rest. TDE encrypts the entire database, including backups, without requiring changes to applications. SSE-S3 and SSE-KMS are for Amazon S3, not Redshift. Client-side encryption would require encrypting data before loading it into Redshift, which is less efficient than TDE.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2015,A company wants to implement row-level security for their data stored in Amazon S3. They want to ensure that users can only see data relevant to their region. Which AWS service should they use?,AWS IAM,AWS Lake Formation,AWS KMS,AWS Glue,,B,AWS Lake Formation provides row-level security capabilities for data stored in Amazon S3. It allows you to define row-level filters based on user attributes (like region) to ensure that users can only see relevant data. AWS IAM can control access to S3 buckets but doesn't provide row-level security. AWS KMS is for managing encryption keys. AWS Glue can transform data but doesn't provide built-in row-level security.,AWS Data Engineer,,2025-10-07 03:56:33.339941
2016,A data engineer needs to implement audit logging for all data access activities in their Amazon S3 data lake. They want to store these logs for long-term analysis. Which combination of AWS services should they use?,AWS CloudTrail + Amazon S3,AWS CloudWatch + Amazon S3,AWS Config + Amazon S3,AWS Macie + Amazon S3,,A,"AWS CloudTrail records all API calls made to Amazon S3, including data access requests. These logs can be delivered to Amazon S3 for long-term storage and analysis. This combination provides a comprehensive audit trail of all data access activities. AWS CloudWatch monitors metrics and logs but doesn't provide detailed API call records. AWS Config tracks resource configurations, not data access activities. AWS Macie is for discovering sensitive data, not for auditing access activities. ## Domain 6: AWS Data Services Integration (5%)",AWS Data Engineer,,2025-10-07 03:56:33.339941
2017,"A company wants to build a data pipeline that collects data from multiple sources, transforms it, and loads it into Amazon Redshift. They want to use a serverless solution with minimal infrastructure management. Which AWS service should they use?",AWS Data Pipeline,AWS Glue,Amazon EMR,AWS Step Functions,,B,"AWS Glue is the most appropriate serverless solution for building a data pipeline that collects data from multiple sources, transforms it, and loads it into Amazon Redshift. Glue provides a managed ETL service that can connect to various data sources, apply transformations using a Spark-based engine, and load the results into Redshift. It requires minimal infrastructure management as it's serverless. AWS Data Pipeline could also be used but has fewer built-in transformation capabilities and is less flexible than Glue. Amazon EMR requires managing clusters. AWS Step Functions is for orchestrating workflows, not specifically for ETL operations.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2018,A data engineer needs to create a data pipeline that moves data from Amazon RDS to Amazon S3 on a daily basis. They want to use a fully managed service that requires minimal coding. Which AWS service should they use?,AWS Glue,AWS Data Pipeline,AWS Database Migration Service (DMS),AWS Lambda,,C,"AWS Database Migration Service (DMS) is the most appropriate fully managed service for moving data from Amazon RDS to Amazon S3 on a daily basis. DMS is specifically designed for database migrations and ongoing replication, and it can extract data from RDS and load it into S3 with minimal configuration. While AWS Glue could also be used, it requires more setup and coding for the ETL process. AWS Data Pipeline could work but is less focused on database-to-S3 migrations than DMS. AWS Lambda would require custom coding to handle the database extraction and S3 loading.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2019,A company wants to integrate their on-premises data warehouse with Amazon Redshift for hybrid analytics. They need to query data from both systems as if it were in a single location. Which AWS service should they use?,AWS Glue,AWS Data Pipeline,Amazon Redshift Spectrum,AWS Database Migration Service (DMS),,C,"Amazon Redshift Spectrum allows you to query data stored in Amazon S3 using Amazon Redshift. By loading data from the on-premises data warehouse into S3, you can then query both the data in Redshift and the data in S3 (originally from on-premises) as if it were in a single location. AWS Glue is for ETL operations, not for querying. AWS Data Pipeline is for moving data, not for querying. AWS DMS is for migrating data, not for querying.",AWS Data Engineer,,2025-10-07 03:56:33.339941
2020,A data engineer needs to create a data pipeline that processes streaming data from Amazon Kinesis and loads it into Amazon S3. They want to use a serverless solution. Which AWS service should they use?,AWS Glue,AWS Data Pipeline,AWS Lambda,Amazon EMR,,A,AWS Glue can process streaming data from Amazon Kinesis and load it into Amazon S3 using its streaming ETL capabilities. It's a serverless solution that can handle continuous data processing without managing infrastructure. AWS Data Pipeline is not designed for streaming data. AWS Lambda could be used but would require more custom code to handle the streaming to S3 process. Amazon EMR requires managing clusters.,AWS Data Engineer,,2025-10-07 03:56:33.339941
2021,A company wants to integrate their Salesforce data with their Amazon Redshift data warehouse for unified analytics. They want to use a fully managed service. Which AWS service should they use?,AWS Glue,AWS Data Pipeline,Amazon AppFlow,AWS Database Migration Service (DMS),,C,"Amazon AppFlow is a fully managed service that can transfer data between SaaS applications like Salesforce and AWS services like Amazon Redshift. It's specifically designed for SaaS integrations and requires minimal configuration. AWS Glue could be used but requires more setup for Salesforce integration. AWS Data Pipeline could work but is less specialized for SaaS integrations. AWS DMS is for databases, not SaaS applications. ## Domain 7: Data Optimization and Performance (5%)",AWS Data Engineer,,2025-10-07 03:56:33.339941
